Timestamp                       Thread     Type        Activity             PID    TTL  
2024-10-30 10:19:51.703264-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] ScanParams: [CBDaemon-0x76900008] AP:0 AD:0(30/300) AS:0 RAS:0 DMN:1 FG:0 ADVBF:0 pBT:0|[com.apple.locationd-central-351-1] AP:0 AD:0(30/300) AS:0 RAS:0 DMN:1 FG:0 ADVBF:0 pBT:0|[com.apple.bluetoothd-central-365-3] AP:0 AD:1(30/300) AS:0 RAS:0 DMN:1 FG:0 ADVBF:0 pBT:0
2024-10-30 10:19:51.703408-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] ScanParams: [com.apple.bluetoothd-central-365-6] AP:0 AD:0(30/966) AS:0 RAS:0 DMN:1 FG:0 ADVBF:0 pBT:0
2024-10-30 10:19:51.703549-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] Returning scan parameters: Main:30.00ms/300.00ms LP:0.00ms/300.00ms(unsupported) SC:0.00ms/0.00ms/non-concurrent(unspported) Dm:(m:30/300) Cond:0:1:0 Sc:1 (passive) Dupfilter:Enabled minScanLevel:3 ENAssertion:N Pri:0/0
2024-10-30 10:19:51.703730-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] needToRestart=0
2024-10-30 10:19:51.703843-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] Starting passive scan (300.00ms/30.00ms) with duplicate filter enabled scNeed=0 stateO=0, retainDups=0 fScanFiltersNeedUpdating=NO
2024-10-30 10:19:51.704030-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] overrideEnableGlobalDupFilter:0
2024-10-30 10:19:51.704224-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.BTDaemon] <private>
2024-10-30 10:19:51.714186-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] Scanning started successfully
2024-10-30 10:19:51.714274-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] ShouldScan=1 AnyValidScanRequests=1 anyValidScanRequestInPaused=0 fObserverState=Active ClientScanPowerAssertRequired=0 fScanFiltersNeedUpdagint=0
2024-10-30 10:19:51.714327-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] updateADVBufferConfig current:00 new:00 configChanged:00
2024-10-30 10:19:51.714376-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] enableObjectDiscoveryADVBuffersIfNeeded objectDiscoveryHwAdvBufferOnly:0 fScreenState:1
2024-10-30 10:19:51.714420-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] AOPBTBUFF config current:0 new:0 configChanged:0
